service_id,nom,description,type,university_id,date_creation
71,Génie Industriel,Formation en conception et gestion des systèmes électroniques,Cycle ingénieur,33,2024-10-06
72,Électronique,Formation en gestion durable des ressources naturelles et en ingénierie environnementale,Doctorat,61,1979-10-13
73,Génie Civil,Formation en développement logiciel et systèmes informatiques,License,5,2023-04-15
74,Ingénierie Environnementale,Formation en développement logiciel et systèmes informatiques,Master,84,2018-03-14
75,Génie Industriel,"Formation en conception, fabrication et maintenance de machines",Doctorat,79,2022-04-30
76,Informatique,Formation en développement logiciel et systèmes informatiques,Cycle ingénieur,79,2010-08-24
77,Informatique,Formation en conception et gestion d'espaces architecturaux et urbains,Doctorat,65,1999-05-09
78,Télécommunications,Formation sur la gestion des systèmes d'information et leur optimisation,Cycle ingénieur,54,2013-06-11
79,Électronique,"Formation en conception, installation et maintenance de réseaux de télécommunication",Doctorat,99,2007-10-19
80,Génie Industriel,Formation sur la gestion des systèmes d'information et leur optimisation,Doctorat,53,2007-03-18
81,Télécommunications,Formation en conception et gestion des systèmes électroniques,License,21,1991-09-26
82,Génie Industriel,Formation sur la gestion et l'amélioration des processus industriels,License,90,1991-08-07
83,Télécommunications,"Formation en conception, fabrication et maintenance de machines",Master,57,2015-02-21
84,Électronique,Formation en gestion durable des ressources naturelles et en ingénierie environnementale,Master,26,1984-03-06
85,Électronique,Formation en conception et gestion de structures civiles,Doctorat,24,2014-05-07
86,Informatique,Formation en gestion durable des ressources naturelles et en ingénierie environnementale,License,60,1982-09-28
87,Mécanique,Formation sur la gestion des systèmes d'information et leur optimisation,Master,69,1978-02-04
88,Télécommunications,"Formation en conception, installation et maintenance de réseaux de télécommunication",Master,29,2019-04-02
89,Ingénierie des Systèmes,Formation sur la gestion et l'amélioration des processus industriels,License,88,1992-10-11
90,Mécanique,Formation en conception et gestion d'espaces architecturaux et urbains,Master,63,2009-01-14
91,Ingénierie Environnementale,Formation en conception et gestion d'espaces architecturaux et urbains,Doctorat,18,2022-02-28
92,Électronique,"Formation en conception, installation et maintenance de réseaux de télécommunication",License,77,1977-11-16
93,Ingénierie des Systèmes,Formation en développement logiciel et systèmes informatiques,Doctorat,46,1997-11-13
94,Ingénierie Environnementale,Formation en conception et gestion d'espaces architecturaux et urbains,License,47,2020-02-27
95,Mathématiques Appliquées,"Formation en conception, fabrication et maintenance de machines",Cycle ingénieur,80,1977-01-02
96,Architecture,Formation en conception et gestion d'espaces architecturaux et urbains,License,87,2007-04-07
97,Informatique,Formation en conception et gestion des systèmes électroniques,Doctorat,3,1983-12-18
98,Ingénierie des Systèmes,"Formation en conception, fabrication et maintenance de machines",Doctorat,71,2022-04-21
99,Mécanique,"Formation en conception, installation et maintenance de réseaux de télécommunication",Doctorat,55,2003-02-18
100,Génie Industriel,"Formation en conception, fabrication et maintenance de machines",Cycle ingénieur,80,1987-09-03
101,Ingénierie des Systèmes,Formation en conception et gestion des systèmes électroniques,Cycle ingénieur,14,1985-11-30
102,Ingénierie des Systèmes,"Formation en conception, fabrication et maintenance de machines",Doctorat,50,2006-08-26
103,Électronique,Formation en conception et gestion d'espaces architecturaux et urbains,Master,90,2009-06-17
104,Ingénierie Environnementale,Formation en gestion durable des ressources naturelles et en ingénierie environnementale,Master,88,1979-08-15
105,Télécommunications,Formation en développement logiciel et systèmes informatiques,Master,38,1997-07-04
106,Génie Civil,Formation en résolution de problèmes complexes à l'aide de techniques mathématiques,Master,29,1987-04-13
107,Mécanique,Formation sur la gestion et l'amélioration des processus industriels,Doctorat,54,1989-01-13
108,Ingénierie Environnementale,Formation en développement logiciel et systèmes informatiques,License,66,2017-02-28
109,Informatique,Formation en résolution de problèmes complexes à l'aide de techniques mathématiques,Cycle ingénieur,38,1980-02-01
110,Ingénierie des Systèmes,Formation en résolution de problèmes complexes à l'aide de techniques mathématiques,Doctorat,70,1992-06-22
111,Ingénierie Environnementale,Formation en gestion durable des ressources naturelles et en ingénierie environnementale,Cycle ingénieur,38,2003-04-12
112,Mathématiques Appliquées,Formation en conception et gestion des systèmes électroniques,License,19,1997-10-13
113,Informatique,"Formation en conception, fabrication et maintenance de machines",Doctorat,87,1975-03-19
114,Mécanique,Formation en gestion durable des ressources naturelles et en ingénierie environnementale,Master,80,1979-12-21
115,Électronique,Formation en résolution de problèmes complexes à l'aide de techniques mathématiques,License,14,2000-07-14
116,Architecture,Formation en conception et gestion des systèmes électroniques,License,3,1982-01-24
117,Génie Civil,Formation sur la gestion des systèmes d'information et leur optimisation,License,4,2019-09-27
118,Génie Industriel,Formation sur la gestion et l'amélioration des processus industriels,Cycle ingénieur,96,1979-10-20
119,Mathématiques Appliquées,Formation sur la gestion des systèmes d'information et leur optimisation,Master,41,2019-06-07
120,Ingénierie Environnementale,Formation sur la gestion et l'amélioration des processus industriels,Doctorat,13,2008-08-04
121,Génie Industriel,"Formation en conception, fabrication et maintenance de machines",Doctorat,46,2021-09-09
122,Informatique,Formation en conception et gestion de structures civiles,Cycle ingénieur,19,1996-04-24
123,Mécanique,Formation en conception et gestion de structures civiles,Master,78,1992-05-22
124,Génie Industriel,"Formation en conception, installation et maintenance de réseaux de télécommunication",Doctorat,29,2002-04-05
125,Génie Civil,Formation en conception et gestion de structures civiles,License,30,1978-07-03
126,Électronique,Formation sur la gestion des systèmes d'information et leur optimisation,License,100,2007-01-09
127,Informatique,Formation sur la gestion des systèmes d'information et leur optimisation,Master,89,1995-05-29
128,Informatique,Formation en résolution de problèmes complexes à l'aide de techniques mathématiques,Master,88,2012-06-22
129,Mécanique,Formation en conception et gestion d'espaces architecturaux et urbains,License,96,1997-10-23
130,Ingénierie des Systèmes,"Formation en conception, fabrication et maintenance de machines",Cycle ingénieur,12,1981-11-07
131,Génie Civil,Formation en conception et gestion d'espaces architecturaux et urbains,Master,72,1988-08-26
132,Ingénierie Environnementale,"Formation en conception, installation et maintenance de réseaux de télécommunication",Doctorat,58,1976-01-02
133,Électronique,Formation sur la gestion des systèmes d'information et leur optimisation,Doctorat,16,2019-08-13
134,Informatique,Formation en gestion durable des ressources naturelles et en ingénierie environnementale,License,58,1979-05-28
135,Mathématiques Appliquées,Formation sur la gestion et l'amélioration des processus industriels,Doctorat,37,1983-03-18
136,Architecture,Formation en gestion durable des ressources naturelles et en ingénierie environnementale,Master,93,1998-03-23
137,Ingénierie des Systèmes,Formation en développement logiciel et systèmes informatiques,Doctorat,93,1976-01-10
138,Génie Civil,Formation en conception et gestion d'espaces architecturaux et urbains,Cycle ingénieur,5,2018-09-17
139,Génie Industriel,Formation en conception et gestion d'espaces architecturaux et urbains,License,16,2020-02-06
140,Électronique,Formation en gestion durable des ressources naturelles et en ingénierie environnementale,Doctorat,19,1983-08-10
141,Ingénierie Environnementale,Formation en conception et gestion de structures civiles,Cycle ingénieur,41,1999-05-16
142,Ingénierie des Systèmes,Formation en conception et gestion d'espaces architecturaux et urbains,Cycle ingénieur,31,1978-07-07
143,Ingénierie des Systèmes,Formation sur la gestion des systèmes d'information et leur optimisation,Cycle ingénieur,4,2014-10-08
144,Informatique,"Formation en conception, fabrication et maintenance de machines",Master,29,1983-02-10
145,Ingénierie des Systèmes,Formation en développement logiciel et systèmes informatiques,License,68,1976-04-16
146,Télécommunications,"Formation en conception, fabrication et maintenance de machines",Master,6,1993-04-29
147,Télécommunications,Formation en gestion durable des ressources naturelles et en ingénierie environnementale,Doctorat,65,2018-03-18
148,Architecture,Formation en conception et gestion d'espaces architecturaux et urbains,Master,45,2023-07-20
149,Télécommunications,"Formation en conception, fabrication et maintenance de machines",Doctorat,55,1985-09-19
150,Mathématiques Appliquées,"Formation en conception, fabrication et maintenance de machines",Cycle ingénieur,54,1979-02-18
151,Informatique,"Formation en conception, fabrication et maintenance de machines",Doctorat,39,2020-07-22
152,Mathématiques Appliquées,Formation en gestion durable des ressources naturelles et en ingénierie environnementale,Doctorat,92,1985-07-18
153,Architecture,Formation en conception et gestion d'espaces architecturaux et urbains,Doctorat,85,2001-01-08
154,Mécanique,Formation en résolution de problèmes complexes à l'aide de techniques mathématiques,Cycle ingénieur,57,1987-10-20
155,Génie Industriel,Formation en développement logiciel et systèmes informatiques,Master,32,1976-12-29
156,Informatique,Formation en conception et gestion d'espaces architecturaux et urbains,Cycle ingénieur,71,2022-01-22
157,Informatique,Formation sur la gestion et l'amélioration des processus industriels,Master,2,2002-02-16
158,Mécanique,Formation sur la gestion et l'amélioration des processus industriels,Master,9,1987-05-05
159,Génie Civil,"Formation en conception, installation et maintenance de réseaux de télécommunication",License,64,2019-01-23
160,Ingénierie des Systèmes,Formation sur la gestion des systèmes d'information et leur optimisation,License,52,1987-01-06
161,Mécanique,Formation sur la gestion des systèmes d'information et leur optimisation,Doctorat,29,1995-01-30
162,Électronique,Formation en développement logiciel et systèmes informatiques,License,44,1988-06-14
163,Télécommunications,Formation sur la gestion des systèmes d'information et leur optimisation,Master,98,1993-07-14
164,Électronique,Formation sur la gestion et l'amélioration des processus industriels,License,50,1978-09-13
165,Ingénierie Environnementale,Formation sur la gestion des systèmes d'information et leur optimisation,Master,85,2012-07-13
166,Génie Industriel,Formation en développement logiciel et systèmes informatiques,Doctorat,74,1978-09-13
167,Mécanique,Formation en conception et gestion des systèmes électroniques,Doctorat,48,1998-08-30
168,Génie Civil,Formation en conception et gestion de structures civiles,Master,51,2012-09-13
169,Ingénierie des Systèmes,Formation sur la gestion des systèmes d'information et leur optimisation,Master,25,1976-03-15
170,Télécommunications,Formation en conception et gestion de structures civiles,License,50,1998-10-25
171,Architecture,Formation sur la gestion et l'amélioration des processus industriels,License,65,1995-02-06
172,Architecture,Formation sur la gestion et l'amélioration des processus industriels,License,53,1988-09-27
173,Télécommunications,"Formation en conception, fabrication et maintenance de machines",License,71,1996-12-23
174,Mécanique,"Formation en conception, fabrication et maintenance de machines",License,20,1976-05-15
175,Ingénierie des Systèmes,Formation en conception et gestion d'espaces architecturaux et urbains,License,96,2022-07-22
176,Télécommunications,Formation sur la gestion et l'amélioration des processus industriels,Doctorat,68,2006-10-15
177,Électronique,"Formation en conception, fabrication et maintenance de machines",Master,22,1997-02-18
178,Génie Civil,"Formation en conception, installation et maintenance de réseaux de télécommunication",License,6,2005-01-28
179,Ingénierie des Systèmes,Formation en résolution de problèmes complexes à l'aide de techniques mathématiques,Cycle ingénieur,42,1983-04-30
180,Télécommunications,Formation en conception et gestion de structures civiles,Master,84,2012-09-07
181,Télécommunications,Formation en conception et gestion d'espaces architecturaux et urbains,License,76,2009-02-17
182,Télécommunications,"Formation en conception, installation et maintenance de réseaux de télécommunication",Cycle ingénieur,45,2017-10-03
183,Informatique,Formation en conception et gestion de structures civiles,Master,4,2015-11-02
184,Télécommunications,Formation en développement logiciel et systèmes informatiques,Doctorat,39,2013-10-22
185,Ingénierie Environnementale,Formation sur la gestion et l'amélioration des processus industriels,Doctorat,55,2002-01-12
186,Architecture,Formation en résolution de problèmes complexes à l'aide de techniques mathématiques,Doctorat,27,1983-02-18
187,Mathématiques Appliquées,Formation en développement logiciel et systèmes informatiques,Master,64,2018-09-15
188,Informatique,Formation en conception et gestion d'espaces architecturaux et urbains,Master,86,1996-11-24
189,Génie Industriel,"Formation en conception, fabrication et maintenance de machines",License,64,2004-10-13
190,Électronique,Formation en résolution de problèmes complexes à l'aide de techniques mathématiques,Doctorat,10,2024-03-14
191,Mécanique,"Formation en conception, fabrication et maintenance de machines",License,72,2008-02-23
192,Télécommunications,Formation en résolution de problèmes complexes à l'aide de techniques mathématiques,Cycle ingénieur,90,1975-03-03
193,Architecture,Formation en développement logiciel et systèmes informatiques,Master,64,2012-06-29
194,Architecture,Formation en résolution de problèmes complexes à l'aide de techniques mathématiques,Master,59,2008-08-02
195,Mathématiques Appliquées,Formation sur la gestion des systèmes d'information et leur optimisation,Cycle ingénieur,21,2011-02-20
196,Architecture,Formation en conception et gestion d'espaces architecturaux et urbains,License,20,2007-02-15
197,Électronique,Formation en conception et gestion des systèmes électroniques,Cycle ingénieur,22,2003-06-11
198,Génie Industriel,Formation sur la gestion des systèmes d'information et leur optimisation,Cycle ingénieur,22,2010-04-07
199,Informatique,Formation en gestion durable des ressources naturelles et en ingénierie environnementale,Cycle ingénieur,53,1989-06-12
200,Informatique,Formation en conception et gestion de structures civiles,Cycle ingénieur,68,2009-08-07
201,Électronique,Formation en développement logiciel et systèmes informatiques,Doctorat,17,1979-11-04
202,Ingénierie des Systèmes,Formation en conception et gestion d'espaces architecturaux et urbains,Cycle ingénieur,31,1986-03-16
203,Mécanique,Formation en gestion durable des ressources naturelles et en ingénierie environnementale,License,29,2020-06-22
204,Télécommunications,Formation en développement logiciel et systèmes informatiques,License,100,1980-06-24
205,Télécommunications,Formation sur la gestion et l'amélioration des processus industriels,Cycle ingénieur,45,1996-07-18
206,Électronique,Formation sur la gestion des systèmes d'information et leur optimisation,Cycle ingénieur,65,1984-05-05
207,Génie Civil,Formation en gestion durable des ressources naturelles et en ingénierie environnementale,Cycle ingénieur,91,1987-11-14
208,Mécanique,Formation en conception et gestion de structures civiles,Master,32,1981-10-16
209,Mathématiques Appliquées,Formation en résolution de problèmes complexes à l'aide de techniques mathématiques,Master,11,1983-12-25
210,Ingénierie Environnementale,Formation sur la gestion et l'amélioration des processus industriels,Doctorat,92,1993-11-11
211,Télécommunications,Formation sur la gestion des systèmes d'information et leur optimisation,Doctorat,8,1988-10-05
212,Électronique,Formation en gestion durable des ressources naturelles et en ingénierie environnementale,Master,20,1975-08-30
213,Électronique,Formation sur la gestion des systèmes d'information et leur optimisation,Cycle ingénieur,57,1998-04-02
214,Électronique,"Formation en conception, fabrication et maintenance de machines",Cycle ingénieur,44,1991-10-16
215,Génie Industriel,Formation sur la gestion et l'amélioration des processus industriels,Doctorat,82,1981-02-03
216,Informatique,Formation en conception et gestion de structures civiles,License,1,1983-07-30
217,Électronique,"Formation en conception, fabrication et maintenance de machines",Cycle ingénieur,63,2007-04-21
218,Télécommunications,"Formation en conception, fabrication et maintenance de machines",Cycle ingénieur,98,1997-05-11
219,Mécanique,"Formation en conception, fabrication et maintenance de machines",License,11,1990-08-17
220,Électronique,Formation en conception et gestion de structures civiles,Cycle ingénieur,95,1986-01-02
221,Génie Civil,"Formation en conception, installation et maintenance de réseaux de télécommunication",Master,30,2021-05-28
222,Électronique,Formation en gestion durable des ressources naturelles et en ingénierie environnementale,Master,2,1985-06-12
223,Informatique,Formation en conception et gestion d'espaces architecturaux et urbains,Doctorat,3,2020-02-07
224,Télécommunications,Formation en développement logiciel et systèmes informatiques,Master,45,1988-06-17
225,Ingénierie des Systèmes,Formation en conception et gestion de structures civiles,License,91,1976-03-21
226,Électronique,Formation en gestion durable des ressources naturelles et en ingénierie environnementale,Cycle ingénieur,42,1992-12-13
227,Ingénierie des Systèmes,Formation en conception et gestion d'espaces architecturaux et urbains,Cycle ingénieur,19,2000-06-17
228,Ingénierie Environnementale,Formation en conception et gestion d'espaces architecturaux et urbains,License,69,2011-11-16
229,Architecture,Formation sur la gestion et l'amélioration des processus industriels,Cycle ingénieur,70,2005-11-02
230,Ingénierie Environnementale,"Formation en conception, installation et maintenance de réseaux de télécommunication",License,83,1988-04-06
231,Génie Civil,Formation en développement logiciel et systèmes informatiques,License,30,1997-11-01
232,Mécanique,Formation en conception et gestion de structures civiles,Master,1,1982-09-26
233,Électronique,Formation en conception et gestion de structures civiles,Doctorat,44,2007-04-23
234,Ingénierie des Systèmes,Formation en résolution de problèmes complexes à l'aide de techniques mathématiques,License,68,1991-04-18
235,Mathématiques Appliquées,Formation en conception et gestion d'espaces architecturaux et urbains,Cycle ingénieur,57,1978-12-01
236,Ingénierie des Systèmes,Formation en résolution de problèmes complexes à l'aide de techniques mathématiques,Doctorat,56,2002-02-19
237,Télécommunications,Formation en conception et gestion de structures civiles,Doctorat,68,1980-06-02
238,Génie Industriel,"Formation en conception, installation et maintenance de réseaux de télécommunication",Master,1,1981-09-16
239,Ingénierie Environnementale,"Formation en conception, installation et maintenance de réseaux de télécommunication",Doctorat,9,2002-03-25
240,Télécommunications,Formation en conception et gestion de structures civiles,Cycle ingénieur,30,2001-01-01
241,Ingénierie des Systèmes,Formation sur la gestion et l'amélioration des processus industriels,Cycle ingénieur,69,1978-03-15
242,Mécanique,Formation sur la gestion des systèmes d'information et leur optimisation,Cycle ingénieur,23,2024-12-21
243,Informatique,Formation en conception et gestion des systèmes électroniques,License,95,2023-10-30
244,Génie Civil,Formation sur la gestion des systèmes d'information et leur optimisation,Cycle ingénieur,34,1996-06-25
245,Architecture,"Formation en conception, fabrication et maintenance de machines",License,24,2010-03-23
246,Électronique,Formation en conception et gestion de structures civiles,Doctorat,55,2005-04-30
247,Électronique,Formation en conception et gestion d'espaces architecturaux et urbains,Doctorat,98,1978-03-05
248,Mathématiques Appliquées,Formation sur la gestion des systèmes d'information et leur optimisation,Master,41,2023-08-27
249,Télécommunications,Formation sur la gestion et l'amélioration des processus industriels,License,89,1979-03-15
250,Ingénierie Environnementale,"Formation en conception, fabrication et maintenance de machines",Doctorat,75,2006-03-04
251,Génie Industriel,Formation en gestion durable des ressources naturelles et en ingénierie environnementale,License,91,1994-04-02
252,Mécanique,"Formation en conception, fabrication et maintenance de machines",Master,78,1995-09-19
253,Ingénierie Environnementale,Formation en conception et gestion de structures civiles,Master,6,2012-12-23
254,Ingénierie des Systèmes,"Formation en conception, fabrication et maintenance de machines",Master,18,1997-09-07
255,Mathématiques Appliquées,Formation en gestion durable des ressources naturelles et en ingénierie environnementale,Master,90,2008-04-06
256,Ingénierie des Systèmes,"Formation en conception, fabrication et maintenance de machines",Master,18,2024-09-28
257,Informatique,Formation en développement logiciel et systèmes informatiques,Doctorat,38,2001-04-16
258,Ingénierie Environnementale,Formation en conception et gestion des systèmes électroniques,Cycle ingénieur,82,2005-11-21
259,Ingénierie des Systèmes,Formation sur la gestion des systèmes d'information et leur optimisation,License,24,2013-01-03
260,Génie Industriel,Formation sur la gestion et l'amélioration des processus industriels,Cycle ingénieur,92,2022-04-09
261,Mécanique,"Formation en conception, fabrication et maintenance de machines",Cycle ingénieur,30,2009-12-13
262,Ingénierie Environnementale,Formation en développement logiciel et systèmes informatiques,License,42,1982-10-16
263,Génie Industriel,Formation en conception et gestion des systèmes électroniques,Cycle ingénieur,67,2017-12-27
264,Génie Civil,Formation sur la gestion des systèmes d'information et leur optimisation,License,8,1987-11-13
265,Mathématiques Appliquées,Formation en conception et gestion des systèmes électroniques,Master,54,2003-06-26
266,Télécommunications,"Formation en conception, installation et maintenance de réseaux de télécommunication",Cycle ingénieur,59,2017-01-06
267,Mécanique,Formation en conception et gestion de structures civiles,License,2,2000-02-20
268,Ingénierie des Systèmes,Formation sur la gestion des systèmes d'information et leur optimisation,Cycle ingénieur,25,1993-01-19
269,Télécommunications,Formation en résolution de problèmes complexes à l'aide de techniques mathématiques,Cycle ingénieur,30,1993-02-18
270,Informatique,Formation en conception et gestion des systèmes électroniques,Doctorat,35,2001-07-08
271,Ingénierie Environnementale,Formation sur la gestion des systèmes d'information et leur optimisation,Master,16,1990-03-23
272,Mécanique,Formation sur la gestion des systèmes d'information et leur optimisation,Master,10,2021-03-09
273,Électronique,Formation en développement logiciel et systèmes informatiques,Master,15,1984-07-03
274,Ingénierie des Systèmes,Formation en conception et gestion d'espaces architecturaux et urbains,Master,84,2004-01-16
275,Télécommunications,Formation sur la gestion des systèmes d'information et leur optimisation,Cycle ingénieur,36,1977-04-21
276,Génie Civil,"Formation en conception, installation et maintenance de réseaux de télécommunication",Cycle ingénieur,36,2019-11-05
277,Électronique,Formation en gestion durable des ressources naturelles et en ingénierie environnementale,Master,4,2005-03-08
278,Informatique,Formation sur la gestion et l'amélioration des processus industriels,Master,44,1984-05-16
279,Architecture,Formation en conception et gestion d'espaces architecturaux et urbains,Doctorat,45,1977-02-15
280,Génie Civil,Formation en conception et gestion d'espaces architecturaux et urbains,License,75,1993-12-19
281,Ingénierie Environnementale,Formation en conception et gestion des systèmes électroniques,Doctorat,79,1992-03-07
282,Électronique,Formation sur la gestion et l'amélioration des processus industriels,License,6,1995-04-17
283,Ingénierie Environnementale,Formation en développement logiciel et systèmes informatiques,Master,86,2019-06-18
284,Ingénierie Environnementale,Formation sur la gestion et l'amélioration des processus industriels,Cycle ingénieur,53,1981-06-08
285,Architecture,Formation sur la gestion et l'amélioration des processus industriels,Doctorat,32,2006-10-05
286,Mathématiques Appliquées,Formation en gestion durable des ressources naturelles et en ingénierie environnementale,Cycle ingénieur,46,1999-08-06
287,Électronique,Formation en conception et gestion des systèmes électroniques,Master,98,1996-10-21
288,Génie Civil,Formation en conception et gestion de structures civiles,Cycle ingénieur,38,2009-09-19
289,Électronique,Formation en conception et gestion des systèmes électroniques,Master,72,2007-06-02
290,Électronique,Formation sur la gestion et l'amélioration des processus industriels,Cycle ingénieur,88,1988-10-17
291,Architecture,Formation en gestion durable des ressources naturelles et en ingénierie environnementale,License,94,1979-01-23
292,Architecture,Formation en conception et gestion des systèmes électroniques,Master,46,2006-02-09
293,Électronique,"Formation en conception, fabrication et maintenance de machines",Doctorat,55,2017-09-27
